nombre,provincia,valor,year
inicial+primaria,Santa Cruz,860348019.0,2012
privada,Santa Cruz,209511033.0,2012
secundaria,Santa Cruz,513797446.0,2012
sin_discriminar,Santa Cruz,353689804.0,2012
snu,Santa Cruz,37534807.0,2012
inicial+primaria,Santa Cruz,1103225599.0,2013
privada,Santa Cruz,253317370.0,2013
secundaria,Santa Cruz,705107449.0,2013
sin_discriminar,Santa Cruz,470219853.0,2013
snu,Santa Cruz,49155524.0,2013
inicial+primaria,Santa Cruz,1907061553.0,2014
privada,Santa Cruz,421610235.0,2014
secundaria,Santa Cruz,1403933382.0,2014
sin_discriminar,Santa Cruz,705662687.0,2014
snu,Santa Cruz,87463075.0,2014
inicial+primaria,Santa Cruz,2211707081.0,2015
privada,Santa Cruz,571197984.0,2015
secundaria,Santa Cruz,1999681022.0,2015
sin_discriminar,Santa Cruz,1107134835.0,2015
snu,Santa Cruz,124136488.0,2015
inicial+primaria,Santa Cruz,2911890038.0,2016
privada,Santa Cruz,742469549.0,2016
secundaria,Santa Cruz,2265115284.0,2016
sin_discriminar,Santa Cruz,1501500773.0,2016
snu,Santa Cruz,166276186.0,2016
inicial+primaria,Santa Fe,3915306022.0,2011
privada,Santa Fe,1616558879.0,2011
secundaria,Santa Fe,2055596896.0,2011
sin_discriminar,Santa Fe,256877368.0,2011
snu,Santa Fe,337694057.0,2011
inicial+primaria,Santa Fe,4561171620.0,2012
privada,Santa Fe,1984317032.0,2012
secundaria,Santa Fe,2736309184.0,2012
sin_discriminar,Santa Fe,243698311.0,2012
snu,Santa Fe,454032951.0,2012
inicial+primaria,Santa Fe,5889319201.0,2013
privada,Santa Fe,2462523179.0,2013
secundaria,Santa Fe,3653414867.0,2013
sin_discriminar,Santa Fe,322553612.0,2013
snu,Santa Fe,494553672.0,2013
inicial+primaria,Santa Fe,7626659567.0,2014
privada,Santa Fe,3228951916.0,2014
secundaria,Santa Fe,4658354694.0,2014
sin_discriminar,Santa Fe,589115485.0,2014
snu,Santa Fe,663815401.0,2014
inicial+primaria,Santa Fe,10120385933.0,2015
privada,Santa Fe,4227369366.0,2015
secundaria,Santa Fe,5943672686.0,2015
sin_discriminar,Santa Fe,949795030.0,2015
snu,Santa Fe,902226724.0,2015
inicial+primaria,Santa Fe,14003366450.0,2016
privada,Santa Fe,5688074325.0,2016
secundaria,Santa Fe,7337431575.0,2016
sin_discriminar,Santa Fe,944898184.0,2016
snu,Santa Fe,1138301456.0,2016
inicial+primaria,Santiago del Estero,780133981.0,2011
privada,Santiago del Estero,200509164.0,2011
secundaria,Santiago del Estero,430720767.0,2011
sin_discriminar,Santiago del Estero,379113287.0,2011
snu,Santiago del Estero,111546922.0,2011
inicial+primaria,Santiago del Estero,978051139.0,2012
privada,Santiago del Estero,269254608.0,2012
secundaria,Santiago del Estero,534047048.0,2012
sin_discriminar,Santiago del Estero,284673534.0,2012
snu,Santiago del Estero,146789640.0,2012
inicial+primaria,Santiago del Estero,1177657661.0,2013
privada,Santiago del Estero,320399649.0,2013
secundaria,Santiago del Estero,775511109.0,2013
sin_discriminar,Santiago del Estero,422353739.0,2013
snu,Santiago del Estero,186944263.0,2013
inicial+primaria,Santiago del Estero,1440940329.0,2014
privada,Santiago del Estero,408461351.0,2014
secundaria,Santiago del Estero,945464024.0,2014
sin_discriminar,Santiago del Estero,623805460.0,2014
snu,Santiago del Estero,237815781.0,2014
inicial+primaria,Santiago del Estero,1880095885.0,2015
privada,Santiago del Estero,553533437.0,2015
secundaria,Santiago del Estero,1267618715.0,2015
sin_discriminar,Santiago del Estero,584890205.0,2015
snu,Santiago del Estero,332494358.0,2015
inicial+primaria,Santiago del Estero,2598677064.0,2016
privada,Santiago del Estero,786024411.0,2016
secundaria,Santiago del Estero,1752376213.0,2016
sin_discriminar,Santiago del Estero,599237551.0,2016
snu,Santiago del Estero,468455434.0,2016
inicial+primaria,Tierra del Fuego,396043513.0,2011
privada,Tierra del Fuego,65288650.0,2011
secundaria,Tierra del Fuego,351316747.0,2011
sin_discriminar,Tierra del Fuego,95057126.0,2011
snu,Tierra del Fuego,85695977.0,2011
inicial+primaria,Tierra del Fuego,486968063.0,2012
privada,Tierra del Fuego,81378782.0,2012
secundaria,Tierra del Fuego,407013476.0,2012
sin_discriminar,Tierra del Fuego,153801543.0,2012
snu,Tierra del Fuego,113589206.0,2012
inicial+primaria,Tierra del Fuego,666912760.0,2013
privada,Tierra del Fuego,107150982.0,2013
secundaria,Tierra del Fuego,556259571.0,2013
sin_discriminar,Tierra del Fuego,200155634.0,2013
snu,Tierra del Fuego,157217974.0,2013
inicial+primaria,Tierra del Fuego,975375408.0,2014
privada,Tierra del Fuego,163223091.0,2014
secundaria,Tierra del Fuego,869392343.0,2014
sin_discriminar,Tierra del Fuego,266029214.0,2014
snu,Tierra del Fuego,220504426.0,2014
inicial+primaria,Tierra del Fuego,1347422652.0,2015
privada,Tierra del Fuego,208396477.0,2015
secundaria,Tierra del Fuego,1051760424.0,2015
sin_discriminar,Tierra del Fuego,478022228.0,2015
snu,Tierra del Fuego,225994738.0,2015
inicial+primaria,Tierra del Fuego,1783491532.0,2016
privada,Tierra del Fuego,300550356.0,2016
secundaria,Tierra del Fuego,1171332699.0,2016
sin_discriminar,Tierra del Fuego,729880959.0,2016
snu,Tierra del Fuego,300477016.0,2016
inicial+primaria,Tucumán,1439286350.0,2011
privada,Tucumán,292805924.0,2011
